"isolate.id","genus","species","media","source","plate.temperature","experiment.ID","temperature","dilution","replicate","mu","r2","se","best.model","best.model.n","best.model.r2","drop.dilution.Q","mu.mn","mu.sd","zscore","outlier.QC","lowT","highT","range.QC","isolate.id.media","id"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",10,"3","2",0.408722989122082,0.988415166628341,0.0172976248155619,"gr.sat",12,0.987730068914357,0,0.46722196381616,0.0489028634340795,-1.19622800355921,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",10,"3","3",0.440702557021421,0.933324878259176,0.0443344434416854,"gr.sat",10,0.991250575536235,0,0.46722196381616,0.0489028634340795,-0.542287402668895,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",10,"3","4",0.409158687646323,0.985149261671794,0.0179779406093261,"gr.sat",11,0.990617464670828,0,0.46722196381616,0.0489028634340795,-1.1873185349996,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"1","1",0.535796976528976,0.98850069777969,0.0282009411463371,"gr.lag",7,0.984611350384157,0,0.529179489599945,0.0813830678276974,0.0813128222573431,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"1","2",0.507017913418178,0.937318621060107,0.0705196521385214,"gr.lag",5,0.991860879523258,0,0.529179489599945,0.0813830678276974,-0.272311879771934,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"1","3",0.574468659834828,0.99006632451637,0.0320115781814828,"gr.lag",6,0.996448878265733,0,0.529179489599945,0.0813830678276974,0.556493770064901,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"1","4",0.589372506011176,0.992294716589861,0.0285500551031669,"gr.lag",6,0.991513233616781,0,0.529179489599945,0.0813830678276974,0.739625797084356,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"2","1",0.575652028381883,0.997472765479275,0.0167862301081297,"gr.lagsat",8,0.997082085193356,0,0.529179489599945,0.0813830678276974,0.571034491846985,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"2","2",0.569207326159834,0.997845335723531,0.0155157696117159,"gr.lagsat",8,0.999492040846074,0,0.529179489599945,0.0813830678276974,0.491844773468544,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
"CH2_15_RI_03",NA,NA,"TM","NB",NA,"CH16A",16,"2","3",0.648523312010417,0.997515447360204,0.0182574531144397,"gr.lagsat",8,0.99839352115182,0,0.529179489599945,0.0813830678276974,1.46644536260472,0,0,29,0,"CH2_15_RI_03-TM","CH2_15_RI_03-TM"
