"experiment.ID","isolate.id","temperature","dilution","replicate","mu","best.model"
"201802_RI03_CH_25","CH30_4_RI_03",25,"2","R2",0.305542774538959,"gr.sat"
"201802_RI03_CH_25","CH30_4_RI_03",25,"2","R3",0.272483821124391,"gr.sat"
"201802_RI03_CH_25","CH30_4_RI_03",25,"2","R4",0.271169511027737,"gr.sat"
"201802_RI03_CH_25","CH30_4_RI_03",25,"3","R1",0.222980456253665,"gr.lag"
"201802_RI03_CH_25","CH30_4_RI_03",25,"3","R2",-0.134907325201173,"gr"
"201802_RI03_CH_25","CH30_4_RI_03",25,"3","R3",0.176959640390361,"gr.lag"
"201802_RI03_CH_25","CH30_4_RI_03",25,"3","R4",0.304155189310453,"gr.lag"
"201802_RI03_CH_29","CH30_4_RI_03",29,"1","R1",-0.0764098412093864,"gr"
"201802_RI03_CH_29","CH30_4_RI_03",29,"1","R2",-0.0783036355391414,"gr"
"201802_RI03_CH_29","CH30_4_RI_03",29,"1","R3",-0.0873411709320551,"gr"
"201802_RI03_CH_29","CH30_4_RI_03",29,"1","R4",-0.0781205362404076,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"1","R1",0.248113232905935,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"1","R2",0.338371155561063,"gr.sat"
"201802_RI03_CH_4","CH30_4_RI_03",4,"1","R3",0.247911461204789,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"1","R4",0.272004251371127,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"2","R1",0.114036918818955,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"2","R2",0.140935205895104,"gr.sat"
"201802_RI03_CH_4","CH30_4_RI_03",4,"2","R3",0.157465499069618,"gr.sat"
"201802_RI03_CH_4","CH30_4_RI_03",4,"2","R4",0.193177239510771,"gr.sat"
"201802_RI03_CH_4","CH30_4_RI_03",4,"3","R1",0.27998038218122,"gr.lagsat"
"201802_RI03_CH_4","CH30_4_RI_03",4,"3","R2",0.304083971903066,"gr.lag"
"201802_RI03_CH_4","CH30_4_RI_03",4,"3","R3",0.247765019820352,"gr"
"201802_RI03_CH_4","CH30_4_RI_03",4,"3","R4",0.304978029717757,"gr.lag"
"201802_RI03_TH_0","TH2_15_RI_03",0,"1","R1",0.331728759917997,"gr.sat"
"201802_RI03_TH_0","TH2_15_RI_03",0,"1","R2",0.338327313407656,"gr.lagsat"
"201802_RI03_TH_0","TH2_15_RI_03",0,"1","R3",0.306438029406096,"gr"
"201802_RI03_TH_0","TH2_15_RI_03",0,"1","R4",0.317111841886006,"gr.sat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"1","R1",0.593826335472803,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"1","R2",0.49877338911028,"gr.lag"
"201802_RI03_TH_10","TH2_15_RI_03",10,"1","R3",0.592303050798357,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"1","R4",0.631091047441043,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"2","R1",0.521500118188775,"gr.sat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"2","R2",0.535303419517795,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"2","R3",0.528587693325992,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"2","R4",0.527323651388078,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"3","R1",0.518005952443845,"gr.sat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"3","R2",0.439980991713892,"gr"
"201802_RI03_TH_10","TH2_15_RI_03",10,"3","R3",0.562352149755054,"gr.lagsat"
"201802_RI03_TH_10","TH2_15_RI_03",10,"3","R4",0.505552471241493,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"1","R1",0.671697254104674,"gr.lagsat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"1","R2",0.860414322654287,"gr.lagsat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"1","R3",0.681417749596047,"gr.lagsat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"1","R4",0.85750610980956,"gr.lagsat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"2","R1",0.672374847249719,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"2","R2",0.544230237639971,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"2","R3",0.559511948438512,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"2","R4",0.651391888562391,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"3","R1",0.816185660809613,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"3","R2",0.540967758636368,"gr.sat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"3","R3",0.855802114297939,"gr.lagsat"
"201802_RI03_TH_16","TH2_15_RI_03",16,"3","R4",0.792769520621908,"gr.lagsat"
"201802_RI03_TH_2","TH2_15_RI_03",2,"1","R1",0.24819337580916,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"1","R2",0.224255950938881,"gr.lag"
"201802_RI03_TH_2","TH2_15_RI_03",2,"1","R3",0.211270746235971,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"1","R4",0.329142900731062,"gr.lagsat"
"201802_RI03_TH_2","TH2_15_RI_03",2,"2","R1",0.229695551273418,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"2","R2",0.232200236856582,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"2","R3",0.244506166513247,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"2","R4",0.251557669225154,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"3","R1",0.298592309449005,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"3","R2",0.290090270890433,"gr.lag"
"201802_RI03_TH_2","TH2_15_RI_03",2,"3","R3",0.293772323413998,"gr"
"201802_RI03_TH_2","TH2_15_RI_03",2,"3","R4",0.310020956319064,"gr"
"201802_RI03_TH_20","TH2_15_RI_03",20,"1","R1",0.707022410458619,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"1","R2",0.839733405835569,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"1","R3",0.763086115251154,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"1","R4",0.931534614614477,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"2","R1",0.799396190770429,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"2","R2",0.657742713517375,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"2","R3",0.597763129974648,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"2","R4",0.65538108538875,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"3","R1",0.386415526737125,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"3","R2",0.419929641729337,"gr.lagsat"
"201802_RI03_TH_20","TH2_15_RI_03",20,"3","R3",0.319132326421551,"gr.lag"
"201802_RI03_TH_20","TH2_15_RI_03",20,"3","R4",0.477853516451514,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"1","R1",0.638186646304154,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"1","R2",0.598970733858604,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"1","R3",0.653088648666661,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"1","R4",0.444067666064668,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"2","R1",0.326574472195883,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"2","R2",0.0657629183197697,"gr"
"201802_RI03_TH_25","TH2_15_RI_03",25,"2","R3",0.0915788592614174,"gr.lag"
"201802_RI03_TH_25","TH2_15_RI_03",25,"2","R4",0.0752215142288048,"gr"
"201802_RI03_TH_25","TH2_15_RI_03",25,"3","R1",0.604190628652986,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"3","R2",0.425716961660938,"gr.lag"
"201802_RI03_TH_25","TH2_15_RI_03",25,"3","R3",0.584573435463314,"gr.lagsat"
"201802_RI03_TH_25","TH2_15_RI_03",25,"3","R4",0.740469568595568,"gr.lagsat"
"201802_RI03_TH_29","TH2_15_RI_03",29,"1","R1",-0.00356381347487982,"gr"
"201802_RI03_TH_29","TH2_15_RI_03",29,"1","R2",-0.00257682747380266,"gr"
"201802_RI03_TH_29","TH2_15_RI_03",29,"1","R3",-0.00400645953511605,"gr"
"201802_RI03_TH_29","TH2_15_RI_03",29,"1","R4",-0.000896918303514555,"gr"
"201802_RI03_TH_4","TH2_15_RI_03",4,"1","R1",0.506815902707903,"gr.lagsat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"1","R2",0.490803942147945,"gr.lagsat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"1","R3",0.432235950260687,"gr.lag"
"201802_RI03_TH_4","TH2_15_RI_03",4,"1","R4",0.527220894505057,"gr.lagsat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"2","R1",0.413371226775838,"gr.sat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"2","R2",0.391089649679133,"gr.lag"
"201802_RI03_TH_4","TH2_15_RI_03",4,"2","R3",0.41591361810974,"gr.lag"
"201802_RI03_TH_4","TH2_15_RI_03",4,"2","R4",0.511099436667114,"gr.lagsat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"3","R1",0.435653866148475,"gr.sat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"3","R2",0.460639736164292,"gr.lagsat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"3","R3",0.476711767503771,"gr.sat"
"201802_RI03_TH_4","TH2_15_RI_03",4,"3","R4",0.483187231866739,"gr.sat"
